objectId,clusterId,area,perimeter,compactness,meanB1,stdB1,meanB2,stdB2,meanB3,stdB3,meanB4,stdB4,meanB5,stdB5,meanB6,stdB6
78,1,17627,1316.3,98.2948,0.0690231,0.00531172,0.0745013,0.00491489,0.0618227,0.0042581,0.0713216,0.00452939,0.331029,0.0404062,0.604725,0.0498158
79,1,113,49.6569,21.8213,0.0662745,0.000915271,0.0654398,0.000963966,0.0633504,0.00126333,0.0596833,0.00104062,0.384765,0.0223777,0.592502,0.0222754
80,1,70,31.4142,14.0979,0.06564,0.000910017,0.0699665,0.000957979,0.0587443,0.00103602,0.0682132,0.00097734,0.385042,0.012617,0.57973,0.00959636
81,1,127,74.2426,43.4013,0.0661712,0.00119722,0.0705138,0.00106832,0.0583653,0.00100507,0.069207,0.00111648,0.284885,0.0231952,0.70116,0.0216706
82,1,129,71.6569,39.8039,0.064781,0.00108818,0.0678778,0.00271842,0.0594046,0.00114665,0.0635176,0.00479008,0.368384,0.0267705,0.604075,0.0602966
83,1,87,46.8284,25.2058,0.0648422,0.000947981,0.0703003,0.000934664,0.0591686,0.00100804,0.0674995,0.00123496,0.353167,0.0381248,0.650746,0.0183921
84,1,85,44.8284,23.6422,0.085554,0.0150927,0.0899777,0.0140269,0.0813641,0.0162686,0.0847852,0.013059,0.393264,0.0122042,0.568204,0.043154
85,1,86,35.4142,14.5833,0.0669425,0.00114958,0.0721701,0.00123989,0.0600044,0.00104385,0.0699137,0.00134722,0.37036,0.0199747,0.650927,0.00656634
86,1,123,46.4853,17.5681,0.0666505,0.000985973,0.0700584,0.000933417,0.0639113,0.0011577,0.0627743,0.000971896,0.378702,0.0337275,0.618545,0.0044145
87,1,144,60.2426,25.2026,0.0629608,0.00138235,0.0642918,0.00293117,0.0577553,0.00125861,0.0588178,0.00423828,0.382653,0.0169215,0.584178,0.00951811
88,1,70,30.8284,13.577,0.0654315,0.00111279,0.0698999,0.00086738,0.058722,0.000864713,0.0674172,0.000864582,0.382241,0.0180163,0.596815,0.00423063
89,1,127,65.4142,33.6931,0.0743147,0.0197749,0.0782685,0.0167168,0.0669437,0.0116476,0.0721126,0.0155264,0.369986,0.0248577,0.621515,0.0486645
90,1,315,167.657,89.2344,0.0666997,0.00607038,0.0711813,0.00769475,0.0601458,0.00673294,0.0693733,0.00807383,0.354946,0.0394396,0.625311,0.0623025
91,1,112,43.0711,16.5635,0.0647136,0.00109553,0.0691201,0.00108017,0.0576711,0.000958862,0.0679733,0.0010041,0.368908,0.0328717,0.568774,0.0129029
92,1,106,51.6569,25.1739,0.0651771,0.000859954,0.0701831,0.000960514,0.0582148,0.00101588,0.0685199,0.000881945,0.363966,0.0183868,0.606323,0.0435353
93,1,196,69.3137,24.5122,0.064797,0.00117035,0.0705704,0.00125086,0.0584141,0.00137814,0.06807,0.00129805,0.37619,0.0232763,0.558777,0.0296854
94,1,220,74.4853,25.2184,0.0646366,0.00101912,0.0694853,0.00102191,0.0573158,0.00094568,0.0682498,0.00110982,0.348681,0.0270707,0.57586,0.0124641
95,1,858,165.698,32,0.0639274,0.00109915,0.0687504,0.00104758,0.0569733,0.00103906,0.0673789,0.0010809,0.316025,0.0363213,0.599241,0.0112635
96,1,219,101.071,46.6455,0.0646403,0.000992349,0.0696092,0.00119105,0.0578642,0.00136037,0.0680076,0.00100537,0.382326,0.0145162,0.609774,0.0279025
97,1,79,41.4142,21.7106,0.0648438,0.000755132,0.0697973,0.000809183,0.0580809,0.00138928,0.067497,0.00103045,0.385108,0.0173186,0.612128,0.00709216
98,1,173,94.8284,51.9794,0.0643415,0.00119526,0.06911,0.00174639,0.0586618,0.00115731,0.0667759,0.00116041,0.374861,0.0226514,0.648766,0.0364658
99,1,206,118.243,67.8705,0.0658799,0.00324103,0.0707405,0.00351242,0.059065,0.00225599,0.0680576,0.00181882,0.363354,0.0377615,0.604271,0.0372665
100,1,163,77.0711,36.4414,0.0665717,0.00177803,0.0719335,0.0017895,0.0580752,0.00174393,0.068836,0.0019151,0.386118,0.018533,0.565702,0.014557
101,1,56,28.8284,14.8407,0.0649573,0.000966108,0.0696524,0.00076701,0.0593373,0.000875659,0.0671759,0.000832189,0.378011,0.0159239,0.688103,0.00708387
102,1,303,117.799,45.7974,0.06906,0.00177896,0.0740853,0.00158605,0.063415,0.00161966,0.071981,0.00170219,0.366893,0.0260739,0.630564,0.00930224
103,1,94,42.2426,18.9834,0.0684965,0.000852565,0.0725773,0.00124859,0.0618888,0.00120096,0.0703722,0.00118145,0.379224,0.0169672,0.623994,0.00337227
104,1,2063,378.368,69.3951,0.0651928,0.00384425,0.0711484,0.0038286,0.0595916,0.00328525,0.0686865,0.00326133,0.346965,0.037615,0.54246,0.0342588
105,1,817,271.497,90.2214,0.0650824,0.00213225,0.070711,0.0018605,0.0592993,0.00153684,0.0682984,0.00169974,0.381904,0.0187954,0.602815,0.0257639
106,1,174,62.9706,22.789,0.0702515,0.00091541,0.0760889,0.00100886,0.0661656,0.0013947,0.0723135,0.00113181,0.378341,0.0268741,0.604031,0.0157183
107,1,55,26.8284,13.0866,0.0680383,0.00103249,0.069358,0.000911294,0.0643691,0.0010009,0.0670671,0.000969496,0.389661,0.0107945,0.592015,0.0086903
108,1,69,30.4853,13.4689,0.0651784,0.00109978,0.0689915,0.0010141,0.059395,0.00114613,0.0672414,0.000941601,0.366695,0.0215479,0.639052,0.00465937
109,1,81,52.8284,34.4548,0.0633549,0.000958618,0.0678032,0.00143719,0.0570151,0.00130161,0.0664266,0.00128159,0.374147,0.0229475,0.572739,0.00648186
